label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-01-04,2021-01-04,2024-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.03864306,0.22874075,0.03807513,0.22874130,37612.87559655,28000.00000000,9612.87559655,0.34331699,0.14082684,0.15201669,0.79085788,0.18954460,1.12391892,0.57714519,-0.24400592,605,2023,0.47779375,2022,-0.20475024,152385.92849782,14.92179668,1.19999174,0.00053292,0.67246796,0.22526950,,,,,0.32479018,0.04453659
SPY benchmark,sens,sens_2021-01-04,2021-01-04,2024-01-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01146942,0.03041091,0.01147122,0.03044485,33710.83875822,28000.00000000,5710.83875822,0.20395853,0.09679578,0.09425879,0.61910497,0.17380570,0.88635484,0.40024497,-0.24184134,709,2021,0.29776361,2022,-0.18015495,27675.11606452,1.93725812,0.22353734,0.00006919,,,,,0.98852878,0.96955515,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-07-06,2021-07-06,2024-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.03900161,0.23575376,0.03880738,0.23576131,45591.65727971,28000.00000000,17591.65727971,0.62827347,0.21298827,0.25792771,1.17315180,0.17845972,1.71998753,1.33512112,-0.15952730,506,2023,0.32552303,2022,-0.07395810,204762.63165539,77.63188717,1.55889528,0.00277257,,,0.65827216,0.22658885,,,0.34077977,0.03751658
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-07-06,2021-07-06,2024-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.04022737,0.23493495,0.03946234,0.23493947,45129.90339769,28000.00000000,17129.90339769,0.61178226,0.20405743,0.25219341,1.16186631,0.17299083,1.70397367,1.25025341,-0.16321286,553,2023,0.36317797,2022,-0.10606515,204605.62484556,62.56356518,1.57603688,0.00223441,0.16237127,0.05569080,0.49340485,0.17001734,,,0.34092819,0.03833843
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-07-06,2021-07-06,2024-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.03982087,0.23409490,0.03919741,0.23409730,44640.47038362,28000.00000000,16640.47038362,0.59430251,0.19479609,0.24606868,1.11304745,0.17374511,1.62737403,1.04288819,-0.18678521,571,2023,0.40121034,2022,-0.13807617,204224.00352410,47.91823606,1.59190587,0.00171137,0.32713568,0.11238157,0.32869344,0.11313278,,,0.34122677,0.03918059
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-07-06,2021-07-06,2024-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.03991867,0.23368619,0.03924160,0.23368718,44107.83271103,28000.00000000,16107.83271103,0.57527974,0.18474742,0.23934760,1.03189626,0.18034172,1.49924103,0.86512949,-0.21354886,601,2023,0.43820287,2022,-0.16921167,203909.17827531,33.84454521,1.61003542,0.00120873,0.49168650,0.16752858,0.16411376,0.05654755,,,0.34109557,0.03959071
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-07-06,2021-07-06,2024-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.03967569,0.23273762,0.03931597,0.23273831,43495.31672403,28000.00000000,15495.31672403,0.55340417,0.17345439,0.23154523,0.92885883,0.19244817,1.33725135,0.71733075,-0.24180532,605,2023,0.47560203,2022,-0.20143170,202281.68325672,20.02733982,1.62011909,0.00071526,0.65552203,0.22709094,,,,,0.34140602,0.04053958
SPY benchmark,sens,sens_2021-07-06,2021-07-06,2024-07-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01095023,0.03059232,0.01095211,0.03059363,36454.54292082,28000.00000000,8454.54292082,0.30194796,0.09872625,0.13550696,0.63716929,0.17092151,0.91404182,0.40625452,-0.24301576,709,2023,0.25758100,2022,-0.18012880,27781.76411407,1.94472349,0.23445976,0.00006945,,,,,0.98904789,0.96940637,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-01-03,2022-01-03,2025-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.04039984,0.24029692,0.04026846,0.24030661,39384.56907369,28000.00000000,11384.56907369,0.40659175,0.13635841,0.17650265,0.76922712,0.19030312,1.07137570,0.83592493,-0.16312279,,2023,0.32275289,2022,-0.07188506,248035.61163102,94.83789045,1.86544165,0.00338707,,,0.67675155,0.22669633,,,0.32236859,0.03297128
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-01-03,2022-01-03,2025-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.04185041,0.23995733,0.04125780,0.23996385,39507.15742192,28000.00000000,11507.15742192,0.41096991,0.13341697,0.17818332,0.77068431,0.18536836,1.07179686,0.81735088,-0.16323096,,2023,0.36067276,2022,-0.10453910,248771.62390830,76.65096752,1.88323765,0.00273753,0.16700816,0.05381224,0.50749075,0.17002338,,,0.32234047,0.03331404
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-01-03,2022-01-03,2025-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.04116723,0.23896864,0.04069026,0.23897208,39549.15235988,28000.00000000,11549.15235988,0.41246973,0.12885049,0.17875818,0.74593867,0.18633384,1.03640955,0.75125198,-0.17151435,515,2023,0.39879026,2022,-0.13916564,248253.50748570,58.74540601,1.89563159,0.00209805,0.33627348,0.11159893,0.33803459,0.11323301,,,0.32277546,0.03430581
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-01-03,2022-01-03,2025-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.04146082,0.23856031,0.04091226,0.23856197,39544.64269568,28000.00000000,11544.64269568,0.41230867,0.12377007,0.17869647,0.70275456,0.19321016,0.97543020,0.64229377,-0.19270010,526,2023,0.43593408,2022,-0.17192973,247810.20827502,41.36839054,1.90938071,0.00147744,0.50537413,0.17012437,0.16877976,0.05659078,,,0.32265824,0.03471592
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-01-03,2022-01-03,2025-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.04086520,0.23746109,0.04053254,0.23746211,39475.32644054,28000.00000000,11475.32644054,0.40983309,0.11722541,0.17774729,0.64407442,0.20554489,0.89198522,0.54178215,-0.21637001,528,2023,0.47354539,2022,-0.20640671,246852.36678356,24.30848899,1.92299480,0.00086816,0.67394621,0.22643094,,,,,0.32315476,0.03581579
SPY benchmark,sens,sens_2022-01-03,2022-01-03,2025-01-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01322224,0.03380632,0.01322413,0.03380762,36731.26506053,28000.00000000,8731.26506053,0.31183090,0.08539846,0.13914578,0.56302846,0.17236917,0.80057392,0.34979332,-0.24413976,709,2023,0.25445822,2022,-0.18817295,27463.52481149,1.92244674,0.22756876,0.00006866,,,,,0.98677587,0.96619238,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-07-05,2022-07-05,2025-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.04508403,0.27326665,0.04493985,0.27327789,39323.65821838,28000.00000000,11323.65821838,0.40441636,0.17211271,0.17609869,0.91116844,0.19616977,1.27467117,1.05453791,-0.16321150,,2023,0.30513289,2022,0.01640410,241412.83189064,93.52806927,1.67509823,0.00334029,,,0.66302349,0.22655728,,,0.33613501,0.00000000
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-07-05,2022-07-05,2025-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.04629162,0.27327109,0.04568306,0.27327789,40332.38071184,28000.00000000,12332.38071184,0.44044217,0.18636483,0.18986558,0.99543500,0.19069318,1.39562678,1.14074026,-0.16337184,,2023,0.34288884,2022,0.01561078,246489.17903387,76.45611542,1.68948608,0.00273058,0.16400173,0.05584809,0.49708730,0.17029381,,,0.33621653,0.00000000
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-07-05,2022-07-05,2025-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.04642086,0.27327424,0.04578252,0.27327789,41331.62556983,28000.00000000,13331.62556983,0.47612948,0.20023112,0.20325665,1.05392320,0.19129558,1.48085636,1.15633602,-0.17315998,,2023,0.38139856,2022,0.01435977,252085.97943973,59.60196528,1.70733457,0.00212864,0.32923778,0.11012453,0.33120681,0.11327066,,,0.33632295,0.00000000
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-07-05,2022-07-05,2025-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.04582609,0.27327626,0.04527361,0.27327789,42292.94618768,28000.00000000,14292.94618768,0.51046236,0.21338706,0.21591790,1.08017802,0.19799358,1.51845177,1.11480849,-0.19141140,,2023,0.41963245,2022,0.01286019,256143.11703222,42.60763549,1.71564684,0.00152170,0.49574348,0.17023569,0.16537138,0.05627903,,,0.33648276,0.00000000
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2022-07-05,2022-07-05,2025-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.04577079,0.27327698,0.04546607,0.27327789,43204.06405588,28000.00000000,15204.06405588,0.54300229,0.22565125,0.22772548,1.07845358,0.20994144,1.51487306,1.06048237,-0.21278170,,2023,0.45676344,2022,0.01098957,260488.51645052,25.38920239,1.72729044,0.00090676,0.66093782,0.22544520,,,,,0.33656926,0.00000000
SPY benchmark,sens,sens_2022-07-05,2022-07-05,2025-07-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01161877,0.03304622,0.01162052,0.03304738,40940.99338848,28000.00000000,12940.99338848,0.46217834,0.19129635,0.19805022,1.10278801,0.17282334,1.67093631,1.02696611,-0.18627328,127,2023,0.25471235,2022,0.00966891,27966.83634583,1.95767854,0.19778441,0.00006992,,,,,0.98837948,0.96695262,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-01-03,2023-01-03,2026-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.01134806,0.29805569,0.01112098,0.29835514,40636.30256671,28000.00000000,12636.30256671,0.45129652,0.20091872,0.19379510,1.02045346,0.19999808,1.42739076,1.23106327,-0.16320747,449,2023,0.28797348,2026,-0.01392453,316293.22601125,120.94359468,2.13404934,0.00431941,,,0.57062609,0.19982163,,,0.42832085,0.00000000
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-01-03,2023-01-03,2026-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.01254802,0.29812408,0.01184720,0.29835514,42384.48075571,28000.00000000,14384.48075571,0.51373146,0.22466221,0.21692171,1.09949856,0.20432405,1.54139489,1.37592254,-0.16328115,436,2023,0.33042421,2026,-0.01141600,325913.05813855,100.30034793,2.15378727,0.00358216,0.14108378,0.04757559,0.42784671,0.14983965,,,0.42855845,0.00000000
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-01-03,2023-01-03,2026-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.01258054,0.29819305,0.01177674,0.29835514,44154.99186410,28000.00000000,16154.99186410,0.57696400,0.24796742,0.23964434,1.15568245,0.21222083,1.62236058,1.43423458,-0.17289182,398,2023,0.37229015,2026,-0.00892080,335258.77078473,79.22243259,2.17179206,0.00282937,0.28385891,0.09846281,0.28496766,0.09973857,,,0.42852871,0.00000000
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-01-03,2023-01-03,2026-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.01282544,0.29826202,0.01203778,0.29835514,45959.40749849,28000.00000000,17959.40749849,0.64140741,0.27102757,0.26212943,1.19057722,0.22354371,1.67117756,1.41898933,-0.19100043,235,2023,0.41452019,2026,-0.00641646,344758.61393510,57.41917454,2.19031527,0.00205068,0.42588190,0.14799005,0.14227673,0.04961763,,,0.42875971,0.00000000
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-01-03,2023-01-03,2026-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.01250084,0.29833020,0.01202573,0.29835514,47768.58972448,28000.00000000,19768.58972448,0.70602106,0.29346801,0.28403927,1.20793746,0.23758969,1.69444109,1.38022746,-0.21262293,224,2023,0.45607425,2026,-0.00391647,353644.25092122,34.84710031,2.20553284,0.00124454,0.56848670,0.19847138,,,,,0.42881900,0.00000000
SPY benchmark,sens,sens_2023-01-03,2023-01-03,2026-01-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01176190,0.02889993,0.01176360,0.02890110,42526.11823077,28000.00000000,14526.11823077,0.51878994,0.22695794,0.21876468,1.43016521,0.15173077,2.15193100,1.21847356,-0.18626415,127,2023,0.26134206,2026,0.00181889,27661.51839445,1.93630629,0.18511009,0.00006915,,,,,0.98823640,0.97109890,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-07-03,2023-07-03,2026-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.00355118,0.06984947,0.00331945,0.06985562,36719.65336183,28000.00000000,8719.65336183,0.31141619,0.16178693,0.13938719,0.83797702,0.20505112,1.14910944,0.92048669,-0.17576237,,2024,0.18543547,2026,-0.02321082,293970.13773437,111.31683984,2.05551424,0.00397560,,,0.55296824,0.19956777,,,0.44584148,0.19678728
VT TQQQ/BIL25+BTAL75 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-07-03,2023-07-03,2026-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL25+BTAL75,0.00513484,0.06665919,0.00429993,0.06666122,38773.93619330,28000.00000000,10773.93619330,0.38478344,0.18365014,0.16856538,0.90693421,0.21165582,1.24459101,1.06833489,-0.17190316,,2024,0.18348056,2026,0.01097414,298097.76732797,91.34945706,2.06263997,0.00326248,0.13633902,0.04936275,0.41451980,0.14993012,,,0.44612845,0.19858118
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-07-03,2023-07-03,2026-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.00518695,0.06457065,0.00413955,0.06457176,40831.51909582,28000.00000000,12831.51909582,0.45826854,0.20462457,0.19667203,0.95440601,0.22199034,1.31247662,1.18263640,-0.17302408,398,2025,0.20840546,2026,0.04420784,302820.51645384,71.41250442,2.07402848,0.00255045,0.27472440,0.09717266,0.27611795,0.09948666,,,0.44606375,0.19930027
VT TQQQ/BIL75+BTAL25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-07-03,2023-07-03,2026-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+BTAL25,0.00516414,0.06229365,0.00415398,0.06229554,42995.23630585,28000.00000000,14995.23630585,0.53554415,0.22563071,0.22513062,0.98644310,0.23555951,1.35977150,1.18202334,-0.19088515,235,2025,0.23811072,2026,0.07916376,306974.59451923,51.29192490,2.08168557,0.00183185,0.41284693,0.14963331,0.13778948,0.04956761,,,0.44621962,0.20018872
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2023-07-03,2023-07-03,2026-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL,0.00513617,0.05999577,0.00436629,0.05999633,45200.15261998,28000.00000000,17200.15261998,0.61429116,0.24624397,0.25307525,1.00553682,0.25168274,1.38972771,1.16114693,-0.21206960,224,2025,0.26777613,2026,0.11378472,310819.76157174,30.86448262,2.08659977,0.00110230,0.55062985,0.19768083,,,,,0.44617829,0.20109771
SPY benchmark,sens,sens_2023-07-03,2023-07-03,2026-07-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01063742,0.02846433,0.01063916,0.02846564,41169.75878385,28000.00000000,13169.75878385,0.47034853,0.19966495,0.20119238,1.28122714,0.15171406,1.90666118,1.06483419,-0.18750802,127,2024,0.24407643,2023,0.07959715,27813.47453946,1.94694322,0.19436833,0.00006953,,,,,0.98936084,0.97153436,,
